generation,train_mse
1,0.0033966882081140188
2,0.0033966882081140188
3,0.0032829016985519406
4,0.0033285959466052965
5,0.003222838081423178
6,0.003222838081423178
7,0.003222838081423178
8,0.003222838081423178
9,0.003222838081423178
10,0.003222838081423178
11,0.003222838081423178
12,0.0032418879464085073
13,0.0032418879464085073
14,0.0032418879464085073
15,0.0031487747247503943
16,0.0031487747247503943
17,0.003224263901319578
18,0.003193182032823779
19,0.0031586640504620727
20,0.0031586640504620727
