generation,train_mse
1,0.0037796899709176953
2,0.0036954342111418445
3,0.0033147875151380763
4,0.0033147875151380763
5,0.0033147875151380763
6,0.003308757404122493
7,0.003308757404122493
8,0.003308757404122493
9,0.0032682255977259113
10,0.0032682255977259113
11,0.0032682255977259113
12,0.0032682255977259113
13,0.0031568822349473747
14,0.0031568822349473747
15,0.0031568822349473747
16,0.0031568822349473747
17,0.0031568822349473747
18,0.0031568822349473747
19,0.0031568822349473747
20,0.0031568822349473747
21,0.0031568822349473747
22,0.0031568822349473747
23,0.0031568822349473747
24,0.0031568822349473747
25,0.0031568822349473747
26,0.0031568822349473747
27,0.0031568822349473747
28,0.0031568822349473747
29,0.0031568822349473747
30,0.0031568822349473747
31,0.0031568822349473747
32,0.0031568822349473747
33,0.0031568822349473747
34,0.0031568822349473747
35,0.0031568822349473747
36,0.0031568822349473747
37,0.0031568822349473747
38,0.0031568822349473747
39,0.0031660175277716867
40,0.003132401443639542
41,0.003132401443639542
42,0.0031390829138492815
43,0.0031390829138492815
44,0.0031390829138492815
45,0.003140673383318889
46,0.003140673383318889
47,0.003140673383318889
48,0.003140673383318889
49,0.003140673383318889
50,0.003140673383318889
