generation,train_mse
1,0.003549391617213813
2,0.003549391617213813
3,0.003553887219509377
4,0.003553887219509377
5,0.0034684317585791484
6,0.0034684317585791484
7,0.0034684317585791484
8,0.0032608034000436736
9,0.0032608034000436736
10,0.003185987109954637
11,0.003185987109954637
12,0.003205936229417188
13,0.0031870568202064463
14,0.0031870568202064463
15,0.0031870568202064463
16,0.0031870568202064463
17,0.0031870568202064463
18,0.0031870568202064463
19,0.0031870568202064463
20,0.0031870568202064463
21,0.0031773132475530217
22,0.0031773132475530217
23,0.0031773132475530217
24,0.0031773132475530217
25,0.0031773132475530217
26,0.003155177997009715
27,0.0031748307306090073
28,0.0031748307306090073
29,0.0031748307306090073
30,0.0031748307306090073
31,0.0031748307306090073
32,0.003149092742326396
33,0.003149092742326396
34,0.003149092742326396
35,0.003149092742326396
36,0.003149092742326396
37,0.003149092742326396
38,0.003149092742326396
39,0.003149092742326396
40,0.003149092742326396
41,0.003121075956702771
42,0.003121075956702771
43,0.003121075956702771
44,0.003121075956702771
45,0.003133682296910928
46,0.003133682296910928
47,0.003133682296910928
48,0.003133682296910928
49,0.003133682296910928
50,0.003133682296910928
