generation,train_mse
1,0.0034511879562803055
2,0.0034511879562803055
3,0.00341274553063884
4,0.003307720345402681
5,0.003307720345402681
6,0.003307720345402681
7,0.003307720345402681
8,0.003307720345402681
9,0.003307720345402681
10,0.003295245499737996
11,0.0032146374517244623
12,0.0032146374517244623
13,0.0032146374517244623
14,0.0032146374517244623
15,0.0032146374517244623
16,0.0032146374517244623
17,0.0032146374517244623
18,0.0032146374517244623
19,0.0032146374517244623
20,0.0031986864116766295
21,0.0031986864116766295
22,0.0031986864116766295
23,0.0031986864116766295
24,0.0031986864116766295
25,0.0031371572373186485
26,0.0031371572373186485
27,0.0031371572373186485
28,0.0031371572373186485
29,0.0031371572373186485
30,0.0031371572373186485
31,0.0031371572373186485
32,0.0031371572373186485
33,0.0031371572373186485
34,0.0031371572373186485
35,0.0031371572373186485
36,0.0031371572373186485
37,0.0031371572373186485
38,0.0031368204426654197
39,0.0031368204426654197
40,0.0031368204426654197
41,0.003135426981873271
42,0.003135426981873271
43,0.003135426981873271
44,0.003135426981873271
45,0.003135426981873271
46,0.003135426981873271
47,0.003135426981873271
48,0.003135426981873271
49,0.003135426981873271
50,0.003135426981873271
