generation,train_mse
1,0.003708081449882843
2,0.003708081449882843
3,0.003494459570776883
4,0.003451338024798886
5,0.0032505453249886624
6,0.003274291745786368
7,0.003274291745786368
8,0.003274291745786368
9,0.003234143906380571
10,0.003234143906380571
11,0.0032574753484298385
12,0.0032574753484298385
13,0.0032574753484298385
14,0.0032574753484298385
15,0.0032177609078834182
16,0.0032177609078834182
17,0.0032177609078834182
18,0.0032177609078834182
19,0.003237053180912695
20,0.003237053180912695
21,0.0031406822018413207
22,0.003156310617048173
23,0.003156310617048173
24,0.003156310617048173
25,0.003156310617048173
26,0.003142115381564454
27,0.003142115381564454
28,0.003142115381564454
29,0.003142115381564454
30,0.003142115381564454
31,0.003142115381564454
32,0.003142115381564454
33,0.003142115381564454
34,0.0031564922090302336
35,0.0031564922090302336
36,0.003163119291314036
37,0.003163119291314036
38,0.003163119291314036
39,0.003134181761615289
40,0.003138945503319294
41,0.003138945503319294
42,0.003138945503319294
43,0.003138945503319294
44,0.003138945503319294
45,0.0031015132409054963
46,0.0031015132409054963
47,0.0031015132409054963
48,0.003076064339212731
49,0.003076064339212731
50,0.003076064339212731
